analysis_unit,women_over_65,proportion_indigenous,left_school_y10,single_parent_families,low_income_families,mother_low_education,severely_crowded,crowded,more_bedrooms_needed,Privately_rented,Total_admissions_u15,Adult_Total_admissions,preventable_admissions_u15,Adult_preventable_admissions,Aboriginal_unemployment,female_participation,IRSOI,Ante_natal_care_by_10w,smoking_pregnancy,immunised_by5,severe_disability,age_death,region,all_preventable_admissions,all_admissions,latent_v_community
IARE105011,7.0253078,13.636937,53.285984,45.502646,13.079019,41.839763,0,7.0914697,3.7777778,28.057554,13014.925,29893.246,1190.7277,1390.416,14.175258,51.187335,30.392157,41.37931,41.37931,100,5.7405281,72,4,2581.144,42908.17,-0.5974393
IARE101003,8.1066816,17.129247,62.070358,58.196721,17,55.223881,0,14.310954,9.3495935,38.869258,13383.635,36357.263,,3057.3085,26.344086,40.47619,73.529412,69.387755,67.346939,100,5.8601134,65,4,,49740.9,-2.653244
IARE105014,5.0807011,21.211977,53.405603,49.753695,14.202899,41.935484,0,18.30855,10.798122,29.553903,13855.009,47499.036,2807.3597,5279.6373,25.336927,47.869674,68.137255,44.736842,48.684211,100,5.5762082,63,4,8086.997,61354.05,-4.889894
IARE105015b,6.510184,6.4739116,53.160252,44.649446,13.81323,46.347032,71.54213,12.00318,6.4976228,28.616852,19886.612,22527.856,,1624.4721,15.418502,49.773756,38.72549,,45.593077,,6.9811321,65.5,4,,42414.47,-1.241636
IARE105016,4.9268769,6.9314118,55.187404,37.151703,13.868613,45.21576,0,8.594319,5.2795031,39.694101,9283.3833,27617.747,1930.3922,2279.1945,15.2,50.556793,36.27451,33.802817,46.478873,93.939394,5.720339,65,4,4209.587,36901.13,-0.6606499
IARE101004,5.3485323,24.254059,56.61094,51.054852,12.557078,44.556452,0,12.539185,7.4003795,38.557994,13941.357,34510.407,2104.5011,3030.894,17.006803,50.917431,43.872549,51.351351,52.702703,92.857143,4.2486231,68,4,5135.395,48451.77,-2.268158
IARE105018,3.4838338,7.5950041,59.642646,51.582868,11.25,48.074922,20.145044,12.006446,7.4906367,37.389202,16732.083,36156.517,3606.83,2731.1515,18.43318,49.702026,45.588235,49.415815,44.105405,98.62543,5.3191489,57.5,4,6337.981,52888.6,-3.230214
IARE101005,5.8393109,12.274007,56.908553,48.22695,16.374269,45.229008,0,13.908702,9.223301,33.380884,10608.257,34094.758,1084.4158,2668.6539,21.041667,45.995893,56.127451,47.887324,39.43662,97.142857,6.2822719,63,4,3753.07,44703.02,-1.449771
IARE103006,6.6608402,36.46703,60.92526,61.029412,19.253438,53.654189,46.162724,18.6382,9.7560976,17.541835,18020.997,50431.188,4066.5964,5084.6601,26.621924,36.785162,82.107843,64.227642,57.723577,100,4.4505495,60,4,9151.257,68452.19,-6.119897
IARE101006,5.5193717,18.9221,58.850875,51.428571,13.385827,42.741935,0,13.941019,8.5365854,29.490617,10321.406,35097.519,1528.8375,3880.1008,28.125,45.138889,70.098039,54.397722,54.825955,100,5.0704225,69,4,5408.938,45418.93,-2.143029
IARE101007,6.7411414,12.693437,52.990722,51.351351,15.57971,49.824561,37.3599,7.8455791,5.4131054,37.608966,14184.157,32950.036,2382.8925,2053.5025,26.122449,40.659341,67.892157,54.901961,49.019608,94.117647,5.5198973,57,4,4436.395,47134.19,-1.960644
